"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P113","P013b","P100b"
"Bin.8.62","-0.06174436","-0.10591739","-0.27247615","-1.14728032","-0.33567468","-0.43212173","-0.01920438","-0.47655841"," 0.23477321"," 0.33096289","-0.25478997"," 0.11488775","-0.65591453","-0.19098228","-0.06151951","-0.29537583"," 0.26458472","-0.34145047"," 0.20195153","-0.22412375"," 0.10920723","-0.37258532","-0.09503293","-6.29053329"," 0.45667227"," 0.20792627"," 0.67202189"," 0.63356899"," 0.32566879"," 0.27459636"," 0.03283229"," 0.47242145"," 0.40257182"," 0.43205463"," 0.47022741"," 0.20512235"," 0.25833645"," 0.33937624"," 0.54279373"," 0.57847948"," 0.36815018"," 0.16452403"," 0.82416754"," 0.54187998"," 0.77281754"," 0.26687688"," 0.34700261","-0.62997173"," 0.69487649"," 0.72192406"
"Bin.8.58","-0.35445579","-0.08124227","-0.87682624","-1.70179499","-1.49715752","-0.92169623","-0.58722639","-1.20582517"," 0.32629644"," 0.22089648","-1.27711461"," 0.22404738","-0.30510583","-0.55512440"," 0.08629145","-2.03607054"," 0.35891424","-1.02501847"," 0.41815668","-0.45314851"," 0.20544261","-0.72670274","-0.92169623","-3.00384926"," 1.18869471","-0.11705083"," 1.26981309"," 1.14498617"," 0.32868980"," 0.71050556","-0.11879570"," 0.79059318"," 0.60525624"," 0.67451846"," 1.06062372"," 0.12915635"," 0.23565431"," 0.16450578"," 0.72953713"," 1.09657965"," 0.05938841","-0.16263954"," 1.68588819"," 0.92916028"," 1.48754465"," 0.05781995"," 0.56969297","-1.56969586"," 1.22074524"," 1.51883800"
"Bin.8.54"," 0.576096750"," 0.590128777"," 0.004316524","-0.573951049","-1.179539501","-0.234162784","-0.385134928","-1.396468669"," 0.609870275"," 0.144347914","-0.548624105"," 1.133294279"," 1.386572567"," 0.708439170"," 2.772346718"," 0.150687115"," 0.701244951"," 0.416536012"," 1.188694289"," 0.320413015"," 1.974181767","-0.204069899"," 0.009701317","-0.896073931"," 1.768319026","-1.577715880"," 0.203430964","-0.795429517"," 0.790345134","-0.920204959"," 0.335720952","-0.338468795","-1.316870562"," 0.946218664"," 1.268018647","-0.395502473"," 0.331098082","-1.050305329","-1.263743458","-0.190471998","-1.053323312","-2.112193182"," 0.209667269","-0.103931046"," 0.015552121"," 0.098189433"," 0.181024949","-1.957581529","-0.729100957"," 0.388411184"
"Bin.8.50"," 0.37615120","-0.39206065","-0.57163877","-1.72911012","-0.90715611","-0.87676669","-0.98770466","-2.16340208","-0.05518703","-0.11341948","-1.21006266"," 1.00219188"," 0.11312283"," 0.51331140"," 1.89627731","-0.35174941"," 0.13982948","-0.70929134"," 0.29331877","-0.47681320"," 1.55752989","-1.41418340","-0.47735097","-1.34062550"," 1.48263779","-1.29741018"," 1.19390374"," 0.31207448"," 0.41057813","-0.32100766"," 0.62778826"," 0.62017231","-0.21443514"," 1.16376877"," 0.43755370","-0.55473742"," 0.14810602","-0.71745462","-0.06200582"," 1.34242997"," 0.17841433","-1.59121992"," 1.25091175"," 0.42501647"," 1.32112264"," 0.33748423"," 0.28302879","-1.62005592"," 0.62855139"," 2.09957322"
"Bin.8.46"," 0.2738087951"," 0.2373425325","-1.1968445244","-0.1481468617","-1.2115517760","-0.0565044360","-0.3874557277","-0.7512045175"," 0.0771169133","-0.6029056566"," 0.5876462252","-0.0615355962","-0.8648098906","-0.3182222652","-0.7214253978","-0.8347205696"," 0.2131108542","-0.7658138558"," 0.1829836373","-0.6455208891"," 0.5151763456","-0.0802262860","-0.0880355182"," 0.1026676327"," 1.8659162269","-0.2242153242"," 1.3775184718"," 1.7761285274","-0.5850071642","-0.3925372498"," 2.7381829101"," 0.0002423009"," 0.3880398241"," 0.3184952140"," 0.2740643763","-0.6355512146","-0.8113717183"," 3.1082657951"," 0.1800800296"," 0.3594789097","-1.1443536262","-2.0488917623"," 0.7518010282"," 0.4289305150"," 0.7346843101","-1.7178511439","-1.2473175162","-0.6185491905"," 0.5159917068"," 1.1528965965"
"Bin.8.42","-0.01475769"," 0.17769281","-0.76840690","-2.78664063","-1.18477888","-0.75921056","-0.63901196","-0.88194346"," 0.52802639","-0.10992707","-1.33232964"," 0.28813952","-0.62498460"," 0.01493899","-0.23185108","-2.12622816"," 0.35239897","-2.16011482"," 0.15834467","-0.88981681"," 0.25257428","-0.40402512","-0.68180420","-2.47122537"," 0.80474653","-0.06027527"," 1.17598650"," 0.98197114"," 0.63290165"," 0.29930327","-0.22853275"," 0.79181015"," 0.82347215"," 0.65899072"," 1.00737772"," 0.20432485","-0.01154002"," 0.29335360"," 0.72708446"," 1.02700493"," 0.30362678","-0.21514543"," 1.40758726"," 0.95105245"," 1.40603712"," 0.04619874"," 0.24036181","-0.03781383"," 1.25008376"," 1.81497305"
"Bin.8.38","-0.63277625","-0.22416832","-0.03972559"," 0.11657030","-1.72155940","-1.74415709"," 0.31640932","-0.08718360"," 0.46217948","-0.33024117","-1.17150834","-0.24672092","-0.63602804","-0.51099411","-1.13242964","-2.41712723"," 0.54643863","-1.86122141","-0.16022494"," 0.21165168"," 0.01160903","-0.05944315","-0.95379734","-3.27526162"," 0.68043908","-0.05172409"," 1.48226085"," 0.86748714"," 0.61888150"," 0.51212942","-0.21332836"," 0.78331790"," 0.58874937"," 0.44429826"," 0.73502854"," 0.24758785","-0.16684220"," 0.42746340"," 0.72748270"," 1.58226856"," 0.16237949","-0.32902710"," 1.32119279"," 0.90769577"," 1.40499592","-0.10628273"," 0.16987195"," 0.12065700"," 1.06709435"," 1.55563236"
"Bin.8.34","-0.98779694","-0.69221904","-1.83646389"," 0.43171727","-2.96112912","-0.35326985","-0.16735029"," 0.68113956"," 0.70583996"," 0.02772893","-1.26382502","-0.38587996","-0.39560136","-0.99648133","-1.47824909","-0.40911655"," 1.42500618","-0.02934315","-0.76907317","-0.17815124","-0.03236236","-0.90256951","-0.52556510","-0.83100708","-0.05844532"," 0.92643082"," 0.98524461"," 1.16792625","-0.42389531"," 0.36978098"," 0.04332472"," 0.63697102","-0.48909933","-0.28369090"," 0.61662362"," 0.69965477","-0.68424635"," 0.88540733"," 1.16216388"," 2.56059479","-0.45327200","-1.47486733"," 1.05281261"," 1.11050569"," 1.28176226"," 0.22937408"," 0.50401037","-0.79155451"," 0.96732787"," 1.38317750"
"Bin.8.30","-0.73264282"," 0.03761631","-1.22612269","-1.14015753","-1.52324428","-1.26238134","-0.78594472","-0.48728568"," 0.05632528","-1.62960658","-0.98678325","-0.52474276","-1.30668778","-1.10864838","-0.94561057","-0.72301704"," 0.20018975","-0.44454194","-0.12430724","-0.86771346","-0.46936529","-0.31109590","-0.49676013","-0.86837059"," 0.56522578"," 0.04421328"," 1.26700058"," 0.52593381","-0.15833077"," 0.49342222","-0.69373962"," 0.56080785"," 0.52522003"," 0.54783412"," 0.79245501"," 0.51394345"," 0.82559534"," 0.66378012"," 0.41849040"," 1.11761514","-0.09929689","-1.14206968"," 1.78970002"," 1.14603745"," 1.45688349"," 1.00018851"," 1.71439259","-0.75577640"," 1.95897881"," 2.59239400"
"Bin.8.26","-0.31971945","-0.32030775","-0.92045164","-1.38396783","-0.78188463","-0.20328734","-0.14427771","-0.19600005","-0.47573070","-1.10425004","-0.02010108","-0.68743948","-0.87884339","-0.98173037","-0.66530986","-2.15904629"," 0.55761402","-1.63338697"," 0.20727057","-0.28160974","-0.49923931","-0.17169556","-0.61643523","-2.53330781"," 0.54391372","-0.21373434"," 1.20331886"," 0.72065035"," 0.22560763"," 1.28625370","-0.77802736"," 0.59410298"," 1.03079514"," 0.58428616"," 0.75824792"," 0.54632129"," 0.33146466"," 0.19348730"," 0.32385280"," 1.88230551","-0.10360570","-0.91161396"," 1.79591803"," 1.00240896"," 1.37463319","-0.04266057"," 0.19625940","-0.20582536"," 1.30970482"," 2.56507251"
"Bin.8.22","-0.71253260","-0.12461861","-0.93165860","-0.29876818","-2.70612803","-0.43497647"," 0.01368865","-0.05949586"," 1.14462199","-0.67554744"," 1.20621790","-0.59622522","-0.31764941","-0.62315353","-0.53205064","-1.88415963"," 0.76120731","-0.68939929","-0.38193803","-0.17076982"," 0.85918562","-0.08114756"," 0.36985311","-1.90265830"," 0.54073866","-0.15546202"," 1.03154462"," 1.02386401","-0.31296444","-0.46539957","-1.48079642"," 0.19649459","-0.08380892","-0.24935892"," 0.53180948","-0.57250243","-0.88249675"," 0.89031857"," 0.56614973"," 2.45563998","-0.40925406","-1.57198477"," 1.29365146"," 1.29742615"," 1.38799489"," 1.35299992","-0.50456472"," 1.01419087"," 0.88996612"," 0.98390659"
"Bin.8.18","-1.17498767"," 0.08166663","-1.42530503","-0.24619789","-1.91360652","-0.18945571","-0.12531516","-0.17960981"," 2.94227228","-0.28153427"," 0.10114266","-0.12476901","-0.37113062","-0.23796146","-0.40090259","-1.53330449"," 0.27368926","-0.58865911","-0.10546204","-0.42823900"," 3.48958498","-0.17020963"," 0.12013446","-0.14205265"," 2.91617478","-0.19350921"," 0.41127238"," 0.53596114","-0.86976165","-0.37961300","-1.00454866","-0.04151902","-0.19764735","-0.10160333"," 0.66787401","-0.70154877","-0.76029173"," 0.22723620","-0.31163256"," 0.68616502","-0.87796567","-0.96800213"," 0.71334788"," 0.49726237"," 0.76426395"," 0.43134017"," 0.54982692","-0.46053011"," 0.59611116"," 0.50154958"
"Bin.8.14","-0.54912482"," 1.36216249","-1.55566559","-1.16220579","-1.63339559","-1.32276616","-0.22592877","-0.24448736","-0.40686414","-0.99704521","-0.73985065","-0.32359852","-1.65359924"," 0.28288379","-1.36767162","-2.75069840"," 0.14373100","-0.92142710"," 0.26004951","-0.45334903","-0.58386122","-0.09013112","-0.60854123","-1.45284074"," 0.68472839"," 0.76135604"," 1.04042582"," 0.78291091","-0.02471230"," 0.49780243"," 0.24897623"," 0.63470723"," 0.86983960"," 0.28322188"," 1.48284970"," 0.47280205"," 0.17458163"," 0.45599631"," 0.48253887"," 1.30242508"," 0.20516967","-0.65259421"," 1.69438680"," 1.14421790"," 1.42032295","-0.01038589"," 0.91731671","-0.61087313"," 1.37360024"," 1.36261461"
"Bin.8.10"," 0.27102634"," 0.98431422"," 1.90262676","-1.06570387","-1.29532749","-1.55290314","-0.67307716"," 0.30763426","-1.50500693","-0.16327423","-0.60530449"," 1.10656063"," 0.56399671"," 1.65747242","-1.23406531"," 0.01712852","-0.07181232","-2.04865333"," 0.87461413"," 1.28296857","-1.20907543","-1.26428959","-0.90591751","-0.33937493"," 0.45508158","-0.39315813"," 0.48333368","-0.05120751"," 1.58339056","-0.62296877","-0.88467551","-0.25401044","-0.37618128","-0.12779357"," 0.97085210"," 1.05736213"," 0.73455427","-0.85053485"," 0.60615265"," 0.77676261"," 0.02014259","-1.68036676"," 1.43567638"," 0.22080797"," 0.97296803","-0.74311812"," 1.01746119","-1.18682301"," 0.59075302"," 1.21098235"
"Bin.8.06"," 0.32714533"," 0.67521560"," 0.51350859"," 0.97544720","-1.57884476","-1.59710597","-0.55912128","-0.07005585","-0.42799330","-0.24851863","-0.74658105"," 0.68290168","-1.38567066"," 0.75709305","-0.55912128","-0.87702817"," 1.58415779","-2.61917709"," 1.57277761"," 2.13521439","-0.61696519","-0.90213619","-0.98534221","-0.22471449"," 0.85748185","-0.03394191"," 2.10102785"," 0.32601181"," 0.88221532","-0.03836610","-1.00436790","-0.09544519","-0.32803842"," 0.03492256"," 0.91059805"," 0.23848266","-0.10364408","-0.69036227","-0.05998211"," 0.93637775","-0.32116343","-1.22376590"," 1.58671766"," 0.30136868"," 0.80969968","-0.79800146"," 0.61378439","-1.62785984"," 0.29709069"," 0.60407454"
"Bin.8.02"," 0.16586977"," 0.49771325","-1.23884018","-0.50666055","-1.86312031","-0.66859991"," 1.21845954","-0.03186232"," 2.18741749","-0.62283680","-0.58699085"," 1.22462991","-0.85356401","-0.36844694"," 0.19709743","-2.22585263"," 1.10920850","-0.16525560"," 0.82415579"," 0.46529554"," 1.24200324","-0.36035158","-0.51567820","-0.55892963"," 2.74646661","-0.17096372","-0.10545813"," 0.77929924","-0.25007365","-0.71129644","-0.71282451","-0.39117255","-0.61206996","-0.51366413"," 0.46997450"," 1.09997180","-0.57890377","-0.24875905","-0.14749751"," 2.61103847","-0.70383510","-1.43943290"," 0.51291394"," 0.46968466"," 0.67120600","-0.63150491","-0.16491928","-1.01363887","-0.24377928"," 0.71437758"
"Bin.7.98"," 1.13440387"," 1.75366543","-2.37846465","-0.98217025","-0.29452458","-1.56209803","-0.05647484"," 0.27178864"," 0.77610888","-0.13144661","-0.90509739"," 1.21478657","-0.45944266","-1.05778761","-0.38124789"," 1.08651729","-0.47240692"," 1.52169591"," 0.10243270","-0.90594823","-0.01166655"," 2.32402858","-1.04928195"," 0.48622630"," 0.08478284"," 1.79937021","-0.58571332","-0.25220924","-0.47700524"," 1.02332915","-0.39307397","-1.76552759"," 0.10750341","-0.60195192"," 0.70408549"," 0.75278289"," 0.53967553"," 0.56626410","-1.20605651","-0.84924433","-0.18700660","-1.10352490","-0.90864192","-0.01984886"," 0.65975737"," 1.35628206"," 1.34377185","-0.94032290"," 0.49123145","-0.16230505"
"Bin.7.94"," 0.19492745","-0.90409638"," 1.09909250"," 0.30325816","-1.33469032","-0.54941719"," 0.65354804"," 0.73127442","-1.19242563"," 1.46955580","-0.07911412","-0.36196682"," 2.79800561","-0.46070081"," 0.17743751","-2.05173658","-0.41683241","-0.35263219","-0.99872478"," 1.75463788","-0.53106445","-0.64587910"," 0.25575700","-0.18399800","-0.14649017"," 0.32008824","-0.30952430","-0.37115748","-0.58744655"," 0.63798688","-0.51304708","-1.30616091","-0.15625783"," 0.16223214","-0.03332117"," 0.81455372"," 1.20484711","-0.26786289","-0.74448057"," 0.53933109"," 1.32493904","-1.38052282"," 0.88827289","-0.37160594","-0.22404964"," 0.78259910"," 2.43749120","-1.62211942"," 0.90000889","-1.35251913"
"Bin.7.90","-0.30161686","-0.64383262","-1.61189682","-0.47914594","-0.91348703","-0.29753157"," 1.05998894"," 0.61442109","-1.10301972"," 0.56608527"," 0.54192153","-1.12368540","-1.91563408","-1.60485245","-1.41462426"," 1.43608401","-0.62221243"," 1.89323991","-0.84940301","-0.22485889","-1.83910164","-1.54923926"," 1.72348601"," 1.31095483"," 0.27480163"," 1.37909746","-0.73610696"," 0.86286814","-1.19145610"," 0.37448460"," 0.90185484","-0.66956479"," 2.06968313","-0.48925591"," 0.01946209"," 0.09121597","-0.56311229"," 0.32928849"," 0.05453074"," 0.35946735","-0.19859714"," 0.24908116"," 0.87833405"," 1.01203875","-0.18456763"," 0.70885818"," 0.68505323"," 0.66118411"," 0.25068422"," 0.21863306"
"Bin.7.86"," 0.19245699"," 0.12746392"," 0.26508426"," 0.09654798"," 0.63159995"," 1.27261147"," 0.04259494","-0.56867817"," 0.20634351"," 0.64031785"," 1.51183637"," 0.51755451"," 1.39967019"," 0.62741767"," 1.84748288"," 0.74907220"," 0.23505413"," 1.56972663"," 0.68511099"," 0.62884469"," 1.02911696","-0.53201153"," 0.67840833"," 0.32512593"," 0.90410642","-0.64676488","-1.20448051","-1.08438083"," 0.24683630","-0.76524062"," 1.71839455","-0.99822895","-1.97892663"," 0.30357243"," 0.56216052","-0.23100561"," 0.69136643","-0.89467627","-1.59546505","-0.91861539","-0.38776061","-0.53214463","-0.68603759","-1.56026575","-1.70695036"," 0.21741312"," 0.92466841","-1.27247146","-1.98017092","-1.30368478"
"Bin.7.82","-0.10176550"," 0.03121378"," 0.28207376"," 0.03453370"," 0.92416487"," 1.01721601"," 0.26847315","-0.73145961"," 0.17029215"," 0.67180093"," 1.17658542"," 0.76247170"," 1.14704306"," 0.56726805"," 1.92695147"," 1.03901918"," 0.04037518"," 1.42276876"," 0.55587601"," 0.56238406"," 1.28465539","-0.29454381"," 0.86044659"," 0.79769674"," 1.09772229","-0.91111853","-1.16882676","-1.37328107"," 0.30737529","-0.50759173"," 1.52460875","-0.87419822","-1.96914408"," 0.33742034"," 0.29448680","-0.33474275"," 0.59175646","-1.04552987","-1.66809139","-0.97504672","-0.49400305","-0.27385481","-0.55446628","-1.68151562","-1.35727490"," 0.35560196"," 0.91801964","-1.41790020","-1.90487763","-1.33106895"
"Bin.7.78"," 0.482328895"," 0.779232972"," 0.007320301","-1.123476273","-1.404639048","-0.254997618","-1.726878215"," 2.202959932","-0.038673161","-0.563946360","-2.285177001","-1.092685832","-0.460470187"," 0.036801284","-0.705194120","-0.701227832"," 0.810407159","-0.697792416","-0.647117814","-1.769817503","-0.029565992"," 1.254543998","-0.947293470"," 0.412192696"," 0.126216148","-0.046728826"," 0.463784280"," 0.730153876"," 0.103282779"," 2.063828507"," 1.021976632"," 0.611629746","-0.446539486"," 0.352535155"," 0.103282779","-0.421188596","-0.622007757","-0.528388694"," 1.551503650"," 1.098891438","-0.663463480"," 0.493616086"," 2.310989405"," 0.553479978"," 0.814024059"," 0.227908794","-0.008522508","-1.750838185"," 0.573733268","-0.249993444"
"Bin.7.74","-7.516999e-01","-1.248177e+00"," 7.280964e-01"," 1.056230e+00","-2.690827e+00","-4.369635e-01"," 7.980687e-01"," 2.469293e+00","-1.624579e-01"," 1.091385e+00","-1.656024e+00","-5.020542e-01"," 9.232466e-01"," 4.331476e-01","-5.600522e-01","-7.946041e-01"," 1.544782e+00","-4.229239e-01","-1.012967e+00"," 7.439188e-01","-1.205626e+00","-8.382174e-01","-1.427442e+00","-5.569875e-01"," 1.415236e-01"," 1.341224e-01"," 1.445612e+00"," 4.641346e-01","-5.034250e-03"," 1.029131e+00"," 1.226910e+00"," 3.154192e-01","-1.188675e+00","-3.092416e-01","-5.034250e-03","-1.754354e-01","-1.106831e+00","-2.149963e-01"," 1.146938e+00"," 1.416618e+00","-2.658644e-01"," 4.481086e-01"," 1.005214e+00"," 3.470618e-01"," 7.856702e-01","-8.629638e-01"," 6.481771e-01","-9.009768e-01"," 8.930118e-05","-1.040824e+00"
"Bin.7.70","-0.23615312"," 0.35630631","-2.05424414"," 0.52234869","-0.68203862"," 0.09445296"," 0.85150287"," 0.71504785"," 0.56885838"," 0.04543708","-0.35233370"," 0.14890109","-0.78109294","-0.85597240","-1.42893480"," 1.36968218"," 0.10040533"," 0.41680546","-1.89298433","-0.44013422","-1.22034667"," 0.42100100"," 0.75272321"," 0.75534296"," 0.14254985"," 1.34341106","-0.27731628"," 0.49918476","-1.24509194"," 0.33424709"," 0.39536541","-1.80366987","-1.96531859","-0.45878027","-0.46426595"," 0.95323287"," 0.30175791"," 0.88194400"," 1.73871323"," 0.81951915","-0.45858741","-2.14000795"," 0.42305805"," 0.69805224"," 0.54740176"," 0.80181454"," 2.27700267","-1.07119204"," 0.62968779","-0.07729251"
"Bin.7.66","-0.15076751"," 0.12344282"," 0.11174492"," 0.12118461"," 0.23236715"," 1.13808104"," 0.06034990","-0.20011613"," 0.41987107"," 0.70146253"," 1.52285741"," 0.47986512"," 1.47285184"," 0.56773110"," 1.76118501"," 1.03565094"," 0.17840039"," 1.65742943"," 0.77187242"," 0.57133274"," 1.05902269","-0.45365324"," 0.44219179"," 0.39540089"," 0.90174039","-0.50502326","-1.57518781","-0.56266537"," 0.20624543","-0.13234182"," 1.79457841","-0.93275698","-1.64161049","-0.04159299"," 0.58084697","-0.17695953"," 0.37469513","-0.98082076","-1.24166059","-1.23773730","-0.21702384","-0.66713999","-0.76034376","-1.75219744","-1.54511653"," 0.31078741"," 0.99119235","-1.25250877","-2.06427747","-1.89288033"
"Bin.7.62","-0.2039563","-0.1637756"," 0.0596239","-0.4516501"," 1.0683945"," 0.9987339"," 0.3247115","-1.1082159","-0.2319959"," 0.4526862"," 1.0291213"," 0.5689993"," 1.0764473"," 0.4650635"," 2.2314209"," 1.0711406","-0.2699908"," 1.2942101"," 0.5403913"," 0.3897195"," 1.3579872","-0.5242640"," 0.8888286"," 0.7367024"," 1.2086270","-0.7857915","-0.8034693","-1.4454956"," 0.1673516","-0.5379496"," 1.5965512","-0.5304396","-1.7084399"," 0.5292873"," 0.2366415","-0.1388743"," 0.8393252","-1.0807494","-1.6196306","-0.5663752","-0.6009232","-0.5274060","-0.2940073","-1.2514565","-1.0357721"," 0.6814098"," 1.0769465","-2.3526315","-1.7524806","-0.9045814"
"Bin.7.58","-0.03484118"," 0.01369821"," 0.25616116"," 0.24019602"," 0.60530573"," 1.03530205"," 0.01402165","-0.74953863"," 0.28214495"," 0.56607839"," 1.19831318"," 0.56687471"," 1.41788089"," 0.74027412"," 1.96536685"," 0.76559191"," 0.15436092"," 1.46397566"," 0.64495707"," 0.50463142"," 1.01977424","-0.50552172"," 0.60277942"," 0.31417869"," 0.89258327","-0.63510932","-1.03790443","-1.36024801"," 0.30496450","-0.17639161"," 1.60452654","-0.74884966","-1.70994897"," 0.23086601"," 0.57840511","-0.06025748"," 0.71077505","-0.86409553","-1.71996625","-0.89453081","-0.22132516","-0.43498739","-0.51512119","-1.36574352","-1.07471945"," 0.41888398"," 0.89789445","-2.84864949","-1.77327394","-1.27974243"
"Bin.7.54","-0.10137229"," 0.04290948"," 0.25838004"," 0.12102476"," 0.81184731"," 1.05746784"," 0.65159218","-0.54693662"," 0.11606635"," 0.67832673"," 1.16050546"," 0.58028980"," 1.18254840"," 0.59197849"," 1.85454242"," 1.07261829","-0.02792430"," 1.43918039"," 0.54907895"," 0.56820693"," 1.21367394","-0.27862573"," 0.79613647"," 0.69435273"," 0.97407771","-0.84870517","-1.03030209","-1.59352608"," 0.28259431","-0.57840353"," 1.49224167","-0.72336534","-1.64890812"," 0.37990361"," 0.28954941","-0.22304758"," 0.64173018","-0.99709684","-1.83138426","-0.78916507","-0.43274936","-0.49112696","-0.75539085","-1.48073059","-1.17706235"," 0.44210794"," 0.92150148","-1.92965063","-2.27199947","-1.10696005"
"Bin.7.50"," 0.50974158"," 0.01944159","-0.85113216","-0.20828017"," 0.82106206"," 1.37059969"," 0.64531124","-0.02880618"," 0.76163628"," 0.50609779","-2.56467384"," 0.97139768","-0.29287742"," 1.12890758","-1.13287999"," 1.15202840","-0.30465251","-0.29287742","-0.54733512","-1.12225508"," 0.42507964"," 0.02959899","-0.38799969"," 1.18916250"," 0.70553570"," 1.13423366","-0.22040645"," 0.34939944","-0.55063727"," 1.27074903"," 0.38997581"," 0.66688002","-0.30101696","-0.01201903","-1.04763264"," 0.81590487","-1.34075588"," 0.06151862","-0.94221000","-0.97527641","-0.49395861","-0.88723769"," 1.24339047","-0.69379491"," 0.87299567"," 0.48056990"," 1.25295602","-3.67841565","-0.13342100"," 0.23637782"
"Bin.7.46"," 0.39551924","-0.32375842","-1.66410355","-0.46096886"," 1.04473540","-0.48261893","-0.12231519","-0.50281643"," 0.64399182"," 0.08921942","-1.65564037"," 1.19152398","-1.55506449"," 0.58044508","-0.86955349","-0.08158250","-0.30213969","-0.81062872"," 0.20639453","-1.87448112","-0.43669773","-0.88330351","-2.23272952","-0.45376099","-0.22863283"," 1.30227937","-0.06938005"," 0.77287885","-0.43027476"," 1.97530382"," 1.22752390"," 1.76042095"," 0.48022231","-0.60230046","-0.15231651"," 1.12907460"," 0.06181469"," 0.88131015","-0.16782760","-0.47563321"," 1.38950702"," 0.62963524","-0.42762935"," 0.43367836"," 1.06732894"," 1.13393865"," 0.97407700","-1.83047527","-1.17802000"," 0.90383026"
"Bin.7.42"," 0.66566179","-0.31912641","-1.44068809","-1.39413433"," 1.11026383","-0.96429497"," 0.43260585"," 0.55069933"," 0.57271914"," 0.10809775","-0.69429766"," 2.00383306","-1.17252163","-0.06537317","-0.46046412","-0.29306628","-0.90895736"," 0.20135329","-0.09268532","-0.94414296"," 0.15188692","-0.43431934","-1.06254787"," 0.25624600"," 0.18058692"," 1.14699718","-0.91502623","-0.77193153","-0.48183541"," 1.93393604","-0.08516561","-1.45329098"," 0.80526063","-0.07775253"," 0.27556135"," 0.09926285"," 1.00379906"," 0.80871180","-0.98284321","-0.95120365"," 1.76055699"," 1.69800948","-1.81023952","-0.21908303"," 0.72930899"," 1.66159551"," 1.72294041","-0.10263799","-1.83512010"," 0.05285510"
"Bin.7.38"," 0.543568943","-0.508507762","-1.552569182","-0.991263825"," 1.165749995","-0.716619112"," 0.663026915"," 1.015149667"," 0.732714007"," 0.202619639","-0.641252364"," 1.801268683","-1.098297656"," 0.606485525","-0.731906833","-0.103952536","-1.066202644"," 0.112741639","-0.346513078","-0.872200858","-0.274782622","-0.607315658","-1.481385008","-0.066963422"," 0.109188182"," 1.018605584","-1.164566058","-0.564480889","-0.734726424"," 1.985162857"," 0.269427823"," 0.116677642"," 0.811960414","-0.357357961"," 0.414587967"," 0.146000549"," 0.937927139"," 0.957168063","-0.827263241","-0.897851579"," 1.941922744"," 0.849598771","-1.875684091","-0.338709748"," 0.446039748"," 1.695197626"," 1.803480500","-0.398737063","-2.124746601","-0.002414409"
"Bin.7.34"," 0.029467065","-0.326968962","-2.003677452","-0.612929173"," 1.867183176","-1.070184108"," 0.218351441"," 0.311381679"," 0.291943487"," 0.472830313","-0.827313935"," 1.670691137","-1.087821327"," 0.486618942","-0.486264295","-0.798864901","-0.604998756","-0.281878588","-0.619136328","-1.219852866"," 0.059091399"," 0.018849517","-0.930555583"," 0.769834535"," 0.221137927"," 1.219478346","-0.984717816","-0.563202791","-0.561199443"," 1.871349454"," 0.377201387"," 0.907302843","-0.008127278","-0.412817866","-0.298272471"," 0.170334161"," 0.537165746"," 0.838683117","-1.160404675","-0.968234920"," 1.114223206"," 2.425705432","-1.241758797","-0.202018047"," 0.082150935"," 1.773059307"," 1.781013837"," 0.124256028","-1.834855344","-0.533248697"
"Bin.7.30"," 0.561219744","-0.319645643"," 0.175714598","-0.012927558"," 0.385603776"," 0.357562824"," 0.466233649"," 1.814937315","-0.348514020"," 0.637898690","-0.591234497"," 2.364837277","-0.317308746"," 2.452817370"," 1.269932284"," 0.193640052"," 0.933443927"," 1.072639454"," 0.064546326"," 0.180275211","-0.297974324","-0.299612734","-0.557161455"," 1.001289082"," 0.916606161"," 0.283248175","-0.869283050"," 0.124820713","-0.809077678"," 1.599172599"," 0.705000862"," 0.073019446","-1.872383680","-0.731731684"," 0.001972786","-1.107410114","-1.285760853","-0.578662163","-0.973172997","-1.001205132","-0.308789687"," 0.762271377"," 0.169805265","-0.970358481","-1.426178104","-0.527220985"," 1.170007343","-1.834871614","-1.473469846","-1.224561258"
"Bin.7.26"," 0.32680582","-0.02398902","-2.35421587","-1.82084439"," 1.09884615","-1.09702094"," 0.59006987"," 0.39308671","-0.81053621"," 1.05434367","-1.20631036"," 2.14703529","-0.92521107","-0.58340056"," 0.76018725"," 0.22188552","-0.83020583"," 0.32812180"," 0.54555045","-0.24086148"," 0.67835083","-0.54516307"," 0.04853643"," 1.30232980"," 0.14331406"," 0.47974596","-1.00719315"," 0.18686648"," 0.47032455"," 2.49031499"," 1.28255429","-0.27561647","-0.90432754","-0.71893579"," 0.93619281"," 0.28185013","-0.52630889"," 0.32654078","-0.52038192","-1.54418966"," 1.18588227"," 0.21830242"," 0.20230809","-0.97136178","-1.19005458"," 0.11710153"," 1.75544222","-1.09033663","-0.85202797"," 0.46660301"
